id,original_text,summary,original_length,summary_length,compression_ratio,orig_word_count,orig_sentence_count,orig_avg_sentence_length,orig_avg_word_length,orig_unique_word_ratio,orig_content_word_ratio,orig_punctuation_count,orig_capital_letter_ratio,summ_word_count,summ_sentence_count,summ_avg_sentence_length,summ_avg_word_length,summ_unique_word_ratio,summ_content_word_ratio,summ_punctuation_count,summ_capital_letter_ratio
0,"Quantum entanglement is a bizarre phenomenon where two subatomic particles become physically linked, instantly mirroring each others state regardless of the vast spatial distance separating them. Measuring a property, like the spin, of one particle instantaneously collapses the wave function of its counterpart, instantaneously determining the state of the other. This profound connection, which Albert Einstein famously dubbed spooky action at a distance, fundamentally challenges classical physics and is the bedrock for the development of emerging technologies like quantum computing and highly secure quantum cryptography networks.","Quantum entanglement is a bizarre phenomenon where two subatomic particles become physically linked, instantly mirroring each others state regardless of the vast spatial distance separating them Measuring a property, like the spin, of one particle instantaneously collapses the wave function of its counterpart, instantaneously determining the state of the other This profound connection, which Albert Einstein famously dubbed spooky action at a distance, fundamentally challenges classical physics and is the bedrock for the development of emerging technologies like quantum computing and highly secure quantum cryptography networks",86,86,1.0,95,3,31.666666666666668,5.8,0.7157894736842105,0.6105263157894737,9,0.0078616352201257,92,1,92.0,5.956521739130435,0.7282608695652174,0.6304347826086957,6,0.0078988941548183
1,"Photosynthesis is the vital biochemical process utilized by plants, algae, and certain bacteria to convert light energy, typically from the sun, into chemical energy stored in glucose molecules. The process primarily occurs within specialized organelles called chloroplasts, where the pigment chlorophyll captures sunlight, which is subsequently used to split water molecules. Carbon dioxide is then fixed in a cycle to synthesize sugars, releasing oxygen as a critical and life-sustaining byproduct into the atmosphere. This fundamental energy conversion sustains nearly all complex life and drives the global carbon and oxygen cycles.","Photosynthesis is the vital biochemical process utilized by plants, algae, and certain bacteria to convert light energy, typically from the sun, into chemical energy stored in glucose molecules The process primarily occurs within specialized organelles called chloroplasts, where the pigment chlorophyll captures sunlight, which is subsequently used to split water molecules",90,51,0.5666666666666667,101,4,25.25,5.415841584158416,0.7029702970297029,0.5841584158415841,11,0.0062893081761006,57,1,57.0,5.684210526315789,0.7719298245614035,0.631578947368421,6,0.0053475935828877
2,"A black hole is a region of spacetime exhibiting such strong gravitational effects that nothingneither light nor any particlecan escape from its grasp once crossing a specific threshold. These cosmic entities are typically formed from the gravitational collapse of extremely massive stars after they exhaust their nuclear fuel at the end of their life cycles. The boundary surrounding the singularity, known as the event horizon, marks the point of no return. Studying black holes provides astronomers with key data to unravel the deepest mysteries of gravity, spacetime, and the evolution of galaxies.",A black hole is a region of spacetime exhibiting such strong gravitational effects that nothingneither light nor any particlecan escape from its grasp once crossing a specific threshold These cosmic entities are typically formed from the gravitational collapse of extremely massive stars after they exhaust their nuclear fuel at the end of their life cycles,92,55,0.5978260869565217,100,4,25.0,5.11,0.75,0.54,8,0.0066445182724252,55,1,55.0,5.509090909090909,0.8545454545454545,0.5636363636363636,0,0.0056022408963585
3,"Deoxyribonucleic acid (DNA) is the intricate hereditary material found in the nucleus of human cells and almost all other organisms, carrying the precise genetic instructions necessary for the organisms development, functioning, growth, and reproduction. Its well-known structure is a double helix, resembling a twisted ladder, which is formed by two complementary strands wound around a central axis. The rungs consist of specific pairings of four nucleotide basesadenine, guanine, cytosine, and thyminewhich ultimately form the essential blueprint for inherited traits.","Deoxyribonucleic acid (DNA) is the intricate hereditary material found in the nucleus of human cells and almost all other organisms, carrying the precise genetic instructions necessary for the organisms development, functioning, growth, and reproduction Its well-known structure is a double helix, resembling a twisted ladder, which is formed by two complementary strands wound around a central axis The rungs consist of specific pairings of four nucleotide basesadenine, guanine, cytosine, and thyminewhich ultimately form the essential blueprint for inherited traits",79,79,1.0,93,3,31.0,5.301075268817204,0.7311827956989247,0.5591397849462365,12,0.010507880910683,90,1,90.0,5.444444444444445,0.7444444444444445,0.5777777777777777,9,0.0105633802816901
4,"Climate change refers to significant long-term shifts in global temperatures and typical weather patterns, with the current rapid changes overwhelmingly driven by elevated levels of atmospheric greenhouse gases. Human activities, particularly the widespread combustion of fossil fuels like coal, oil, and gas for energy, release these gases, which efficiently trap heat within the Earths atmosphere. The resulting severe ecological and social consequences, including accelerated sea-level rise, the intensification of extreme weather events, and massive habitat destruction, necessitate urgent global collaboration on both mitigation and comprehensive adaptation strategies.","Climate change refers to significant long-term shifts in global temperatures and typical weather patterns, with the current rapid changes overwhelmingly driven by elevated levels of atmospheric greenhouse gases Human activities, particularly the widespread combustion of fossil fuels like coal, oil, and gas for energy, release these gases, which efficiently trap heat within the Earths atmosphere The resulting severe ecological and social consequences, including accelerated sea-level rise, the intensification of extreme weather events, and massive habitat destruction, necessitate urgent global collaboration on both mitigation and comprehensive adaptation strategies",87,87,1.0,100,3,33.333333333333336,5.88,0.76,0.63,13,0.0059347181008902,97,1,97.0,6.030927835051546,0.7731958762886598,0.6494845360824743,10,0.0059612518628912
5,"Plate tectonics is the established scientific theory explaining the large-scale motion of the seven major and numerous smaller plates that constitute Earths rigid outer layer, known as the lithosphere. Convection currents within the underlying, molten mantle cause these rigid plates to slowly and continuously diverge, converge, or slide past one another along seismic fault lines. This constant geological activity is directly responsible for shaping the planets surface features, triggering phenomena such as continental drift, the uplift of mountain ranges, volcanic eruptions, and the global distribution of earthquakes.","Plate tectonics is the established scientific theory explaining the large-scale motion of the seven major and numerous smaller plates that constitute Earths rigid outer layer, known as the lithosphere Convection currents within the underlying, molten mantle cause these rigid plates to slowly and continuously diverge, converge, or slide past one another along seismic fault lines This constant geological activity is directly responsible for shaping the planets surface features, triggering phenomena such as continental drift, the uplift of mountain ranges, volcanic eruptions, and the global distribution of earthquakes",87,87,1.0,98,3,32.666666666666664,5.5,0.7551020408163265,0.6224489795918368,11,0.0064,95,1,95.0,5.6421052631578945,0.7684210526315789,0.6421052631578947,8,0.0064308681672025
6,"Chemical bonding is the lasting, strong attraction between atoms, ions, or molecules that enables the formation of stable chemical compounds, complex molecules, and highly ordered crystalline lattices. The two primary types are covalent bonds, which involve the mutual sharing of one or more electron pairs between atoms, and ionic bonds, characterized by the strong electrostatic attraction between atoms that have exchanged electrons to form oppositely charged ions. The nature and specific strength of these fundamental bonds are the primary factors dictating all the macroscopic physical and chemical properties of matter.","Chemical bonding is the lasting, strong attraction between atoms, ions, or molecules that enables the formation of stable chemical compounds, complex molecules, and highly ordered crystalline lattices The two primary types are covalent bonds, which involve the mutual sharing of one or more electron pairs between atoms, and ionic bonds, characterized by the strong electrostatic attraction between atoms that have exchanged electrons to form oppositely charged ions The nature and specific strength of these fundamental bonds are the primary factors dictating all the macroscopic physical and chemical properties of matter",90,90,1.0,101,3,33.666666666666664,5.316831683168317,0.6237623762376238,0.5643564356435643,11,0.0047923322683706,98,1,98.0,5.448979591836735,0.6326530612244898,0.5816326530612245,8,0.0048154093097913
7,"Artificial Intelligence (AI) refers to the broad and rapidly advancing field dedicated to simulating human cognitive processessuch as learning, complex problem-solving, decision-making, and reasoningby specialized computer systems and advanced algorithms. Modern AI, particularly through its powerful sub-field of machine learning, is rapidly being deployed across virtually every sector of the global economy, powering everything from advanced medical diagnostics and highly accurate predictive analytics to complex autonomous navigation systems, fundamentally restructuring both scientific research and industrial productivity.","Artificial Intelligence (AI) refers to the broad and rapidly advancing field dedicated to simulating human cognitive processessuch as learning, complex problem-solving, decision-making, and reasoningby specialized computer systems and advanced algorithms Modern AI, particularly through its powerful sub-field of machine learning, is rapidly being deployed across virtually every sector of the global economy, powering everything from advanced medical diagnostics and highly accurate predictive analytics to complex autonomous navigation systems, fundamentally restructuring both scientific research and industrial productivity",76,76,1.0,87,2,43.5,6.367816091954023,0.7586206896551724,0.6206896551724138,9,0.0111287758346581,85,1,85.0,6.494117647058824,0.7647058823529411,0.6352941176470588,7,0.011164274322169
8,"Albert Einsteins revolutionary theory of relativity fundamentally redefined our understanding of space, time, and gravity in the 20th century. The theory is commonly separated into special relativity, which addresses phenomena when objects move at constant velocities and posits that the speed of light is a universal constant, and general relativity, which provides the contemporary description of gravity. General relativity posits that gravity is not an invisible force, but rather the consequence of mass and energy warping the flexible fabric of spacetime, explaining the motions of planets and the behavior of the entire cosmos.","Albert Einsteins revolutionary theory of relativity fundamentally redefined our understanding of space, time, and gravity in the 20th century The theory is commonly separated into special relativity, which addresses phenomena when objects move at constant velocities and posits that the speed of light is a universal constant, and general relativity, which provides the contemporary description of gravity General relativity posits that gravity is not an invisible force, but rather the consequence of mass and energy warping the flexible fabric of spacetime, explaining the motions of planets and the behavior of the entire cosmos",93,93,1.0,103,3,34.333333333333336,5.262135922330097,0.6116504854368932,0.5339805825242718,10,0.0063091482649842,100,1,100.0,5.39,0.62,0.55,7,0.0063391442155309
9,"The cell is universally recognized by biologists as the fundamental structural and functional unit of life in all known living organisms, whether single-celled or complex multicellular beings. Eukaryotic cells, which characterize animals, plants, and fungi, feature numerous complex, membrane-bound organelles. These essential components include the nucleus, which safely houses the cells genetic material (DNA), and the mitochondria, which are efficiently responsible for generating the vast majority of the cells required energy supply (ATP). The integrity and selective permeability of the outer cell membrane are crucial for maintaining cellular homeostasis and controlled interaction with the environment.","The cell is universally recognized by biologists as the fundamental structural and functional unit of life in all known living organisms, whether single-celled or complex multicellular beings Eukaryotic cells, which characterize animals, plants, and fungi, feature numerous complex, membrane-bound organelles",95,40,0.4210526315789473,112,4,28.0,5.5,0.6785714285714286,0.5357142857142857,13,0.0140845070422535,46,1,46.0,5.8478260869565215,0.8260869565217391,0.5652173913043478,6,0.0064935064935064
